dataset,retriever,severity,n,ndcg10,recall10,mrr10,shapley_exact,shapley_f1,delta_exact,delta_f1,random_exact,random_f1,mcr_exact,residual,pair_interaction,triple_interaction
nfcorpus,bm25,0.5,7934,0.40624523868088086,0.19829853530123548,0.6702859603634749,0.8684144189563903,0.9342072094781951,0.7416183513990421,0.8708091756995211,0.4348374086211243,0.5829972271237711,0.8367784219813461,4.892147973476011e-05,0.08196286659407866,0.01150031292455882
nfcorpus,dense,0.2,7144,0.44404572570218304,0.2147349135526585,0.7045217765157575,0.8499440089585666,0.9249720044792833,0.7568589025755879,0.8784294512877939,0.43617021276595747,0.5932950727883539,0.7105263157894737,7.325506023333368e-05,0.035651477694704226,0.003884398679831844
nfcorpus,dense,0.35,7582,0.4311922480165897,0.20893200338561185,0.6849479029279872,0.861382221049855,0.9306911105249275,0.7520443154840412,0.8760221577420205,0.43695594829860196,0.5879055658137694,0.7986019519915589,5.644522546081425e-05,0.06126777515816856,0.008492961472278609
nfcorpus,dense,0.5,7914,0.41722191693570365,0.2026544972514896,0.6634734105924402,0.8692191053828658,0.9346095526914329,0.734647460197119,0.8673237300985596,0.4404852160727824,0.5880085923679556,0.8247409653778115,5.189754881812939e-05,0.08637346122480268,0.01308650625161889
nfcorpus,hybrid,0.2,7389,0.45392253141589467,0.22190296739305868,0.7356959186435436,0.8503180403302206,0.9251590201651103,0.7618080931113818,0.8809040465556909,0.43280552172147785,0.5914196778995805,0.7153877385302476,5.7587538141630056e-05,0.035289648736819994,0.00333037068618178
nfcorpus,hybrid,0.35,7817,0.44348197174467296,0.21670475785834237,0.7198907143770902,0.8713061276704618,0.935653063835231,0.754125623640783,0.8770628118203915,0.43993859536906743,0.5903799411538954,0.8072150441345785,6.014613184698174e-05,0.06037079212322242,0.007792806912277495
nfcorpus,hybrid,0.5,8168,0.43088263165840124,0.21157413800651587,0.7008785737605522,0.883692458374143,0.9418462291870715,0.7406953966699314,0.8703476983349657,0.43658178256611163,0.5838026444662096,0.8513712047012733,3.408881753384439e-05,0.08629321122701579,0.012137876353202319
scidocs,bm25,0.2,5297,0.2737451990080487,0.2865489899943364,0.49048772740485036,0.8370775910892958,0.9185387955446479,0.8027185199169341,0.9013592599584671,0.4306211062865773,0.5935435151972814,0.6379082499528035,2.3508302392737545e-05,0.028803033499144343,0.0017008291737523173
scidocs,bm25,0.35,5778,0.26002883691050027,0.2716857043959848,0.46686652161730047,0.8419868466597439,0.9209934233298719,0.7893734856351678,0.894686742817584,0.43250259605399793,0.5874004845967463,0.719626168224299,1.9896024803584822e-05,0.04403447173005473,0.003887703357114291
scidocs,bm25,0.5,6186,0.24810534126302458,0.258955706433883,0.4455620474291667,0.8346265761396702,0.9173132880698351,0.7738441642418364,0.8869220821209182,0.4477853216941481,0.5969932104752668,0.7462010992563853,2.8771902091481215e-05,0.05637561331124661,0.0060612970360221004
