run_id,query_id,pipeline_id,is_correct,total_error,interaction_term,dominant_fault,dominant_fault_confidence,phi_scope,phi_facts,phi_aggregation
538fe1bfcc814cdcb961678b3f880730,e5a8b401-b34e-5beb-bec9-76e64ca050e7,P2-wrong-facts,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
943a41ee65f9c7392eab756fc91498a7,e5a8b401-b34e-5beb-bec9-76e64ca050e7,P3-wrong-aggregation,True,0.0,0.0,none,0.0,0.0,0.0,0.0
a72e6f931bd10b4d3e1d5a78c9ac387f,e5a8b401-b34e-5beb-bec9-76e64ca050e7,P4-compound-scope-facts,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
f7d5c4a98921377ebbf6f5ec5ed60018,e5a8b401-b34e-5beb-bec9-76e64ca050e7,P5-full-compound,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
80846a66aca05fbc665d7cdf52480781,e5a8b401-b34e-5beb-bec9-76e64ca050e7,gnn-extractor,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
64ea28449e1420a0b6a41841eb115994,64ef65d5-0f0c-59f6-9c65-504a3afa73f7,P0-deterministic-scope-baseline,True,0.0,0.0,none,0.0,0.0,0.0,0.0
d55eaef6f7507170122be6ece7cb7b38,64ef65d5-0f0c-59f6-9c65-504a3afa73f7,P1-wrong-scope,False,0.625,0.0,scope,0.3125,0.3125,0.3125,0.0
0be754849c6501a6837c05dabb67947d,64ef65d5-0f0c-59f6-9c65-504a3afa73f7,P2-wrong-facts,False,0.125,0.0,scope,0.0625,0.0625,0.0625,0.0
dac69a22a2de23e0415e6258937b8ab6,64ef65d5-0f0c-59f6-9c65-504a3afa73f7,P3-wrong-aggregation,False,0.375,0.0,scope,0.1875,0.1875,0.1875,0.0
4d2f5aed5b06a397f9690a5ba9407e14,64ef65d5-0f0c-59f6-9c65-504a3afa73f7,P4-compound-scope-facts,False,0.625,0.0,scope,0.3125,0.3125,0.3125,0.0
13905d5d1a38c720cd2036576421df1e,64ef65d5-0f0c-59f6-9c65-504a3afa73f7,P5-full-compound,False,0.625,0.0,scope,0.3125,0.3125,0.3125,0.0
a29150ebba9a848b3d5dcac1d9b797ac,64ef65d5-0f0c-59f6-9c65-504a3afa73f7,gnn-extractor,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
c39b69688510e692954a3c04661f6b94,6d9e5554-b30f-55ac-ab0b-dd7619b5835f,P0-deterministic-scope-baseline,True,0.0,0.0,none,0.0,0.0,0.0,0.0
b4b7795cb0749391fa1393f45a9a5b09,6d9e5554-b30f-55ac-ab0b-dd7619b5835f,P1-wrong-scope,True,0.0,0.0,none,0.0,0.0,0.0,0.0
6e140e0510edab223078939b5235ead5,6d9e5554-b30f-55ac-ab0b-dd7619b5835f,P2-wrong-facts,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
51d8876f428f61cf2f1e0295cbb0e7d5,6d9e5554-b30f-55ac-ab0b-dd7619b5835f,P3-wrong-aggregation,False,0.5,0.0,scope,0.25,0.25,0.25,0.0
803e551bbd91343de93f3cb7dad510e4,6d9e5554-b30f-55ac-ab0b-dd7619b5835f,P4-compound-scope-facts,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
c9714a854edfc38c6f07bf3a870f3535,6d9e5554-b30f-55ac-ab0b-dd7619b5835f,P5-full-compound,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
ac861f7764cc69b2f96b59e2fb1eb36d,6d9e5554-b30f-55ac-ab0b-dd7619b5835f,gnn-extractor,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
ca266afdfdb5ca98f23b25d653582748,cd366f4e-9341-592a-9574-63a5d67eb206,P0-deterministic-scope-baseline,True,0.0,0.0,none,0.0,0.0,0.0,0.0
f85fc3ea0c975ed6e9cf36cfee90b69c,cd366f4e-9341-592a-9574-63a5d67eb206,P1-wrong-scope,True,0.0,0.0,none,0.0,0.0,0.0,0.0
824b6b348c8c9c0cd4a8e9a6157bdfb3,cd366f4e-9341-592a-9574-63a5d67eb206,P2-wrong-facts,True,0.0,0.0,none,0.0,0.0,0.0,0.0
87f3f5aa9713241d1ba6fe65020170ea,cd366f4e-9341-592a-9574-63a5d67eb206,P3-wrong-aggregation,True,0.0,0.0,none,0.0,0.0,0.0,0.0
a989634c2c39cc79446c2e7976a15990,cd366f4e-9341-592a-9574-63a5d67eb206,P4-compound-scope-facts,True,0.0,0.0,none,0.0,0.0,0.0,0.0
7f977e4ba6aa9c0ad0535334e83aff7f,cd366f4e-9341-592a-9574-63a5d67eb206,P5-full-compound,True,0.0,0.0,none,0.0,0.0,0.0,0.0
754b0238883775d46afb3678128a63e8,cd366f4e-9341-592a-9574-63a5d67eb206,gnn-extractor,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
962f64a7f56e9637e1c4a90e5f3da717,c8598e25-c3f1-567d-8662-9efea4a29d96,P0-deterministic-scope-baseline,True,0.0,0.0,none,0.0,0.0,0.0,0.0
6e8033336e1898fffa9f05bf9fe49587,c8598e25-c3f1-567d-8662-9efea4a29d96,P1-wrong-scope,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
89f4680226fb33ef7566311847030ae9,c8598e25-c3f1-567d-8662-9efea4a29d96,P2-wrong-facts,False,1.0,0.0,scope,0.5,0.5,0.5,0.0
